# U/t, beta*G(beta/2)
0.0 0.999876857
0.4 0.999864936
0.7 0.999841094
1.0 0.999805331
1.4 0.999733806
1.8 0.999635458
2.2 0.999504328
2.6 0.999334455
3.0 0.999110937
3.4 0.998818874
3.8 0.998419523
4.2 0.997850299
4.6 0.99697113
5.0 0.995451212
5.2 0.994208455
5.3 0.99337697
5.4 0.992339849
5.5 0.991022587
5.6 0.989305973
5.7 0.987014174
5.8 0.983840227
5.9 0.979268551
6.0 0.972363353
6.1 0.961342454
6.2 0.942710042
6.3 0.909411907
6.4 0.847217441
6.5 0.728997588
6.6 0.511339307
6.7 -0.0
6.8 -0.0
7.0 -0.0
